Rank,Name,Brewing Company,Type,Alcohol Percent,Ratings,Avg Rating
1,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,Stout - American Imperial,12,875,4.9
2,Marshmallow Handjee,3 Floyds Brewing Co.,Stout - Russian Imperial,15,1763,4.81
3,Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,Stout - American Imperial,11,1656,4.78
4,Abraxas - Barrel-Aged,Perennial Artisan Ales,Stout - American Imperial,11,1629,4.78
5,Heady Topper,The Alchemist,IPA - Imperial,8,15036,4.76
6,Pliny The Younger,Russian River Brewing Company,IPA - Imperial,10.25,3473,4.75
7,Mornin' Delight,Toppling Goliath Brewing Company,Stout - American Imperial,12.8,1724,4.75
8,King Julius,Tree House Brewing Company,IPA - New England,8.3,1466,4.75
9,King JJJuliusss,Tree House Brewing Company,IPA - New England,8.4,805,4.76
10,SR-71,Toppling Goliath Brewing Company,Stout - American Imperial,14,545,4.77
11,Very Hazy,Tree House Brewing Company,IPA - New England,8.6,1201,4.73
12,CBS (Canadian Breakfast Stout),Founders Brewing Company,Stout - American Imperial,11.3,6708,4.7
13,Fundamental Observation,Bottle Logic Brewing,Stout - American Imperial,14.3,1509,4.71
14,Pliny The Elder,Russian River Brewing Company,IPA - Imperial,8,15493,4.69
15,Hunahpu's Imperial Stout - Laird's Apple Brandy Barrel,Cigar City Brewing,Stout - American Imperial,11.5,383,4.75
16,Assassin,Toppling Goliath Brewing Company,Stout - American Imperial,12,1470,4.7
17,Fou' Foune,Brasserie Cantillon,Lambic - Fruit,5.5,3205,4.69
18,Juice Machine,Tree House Brewing Company,IPA - New England,8.2,1234,4.7
19,Zenne Y Frontera,Brouwerij 3 Fonteinen,Lambic - Traditional,7,368,4.74
20,Julius,Tree House Brewing Company,IPA - New England,6.8,4964,4.68
21,Very Green,Tree House Brewing Company,IPA - New England,8.6,1575,4.69
22,Barrel Aged Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,Stout - American Imperial,11,348,4.74
23,Abner,Hill Farmstead Brewery,IPA - New England,8.2,2862,4.67
24,Double Sunshine,Lawson's Finest Liquids,IPA - Imperial,8,2626,4.67
25,Bourbon County Brand Stout,Goose Island Beer Co.,Stout - American Imperial,14.7,13277,4.66
26,Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Quadrupel (Quad),10.2,6795,4.66
27,Very GGGreennn,Tree House Brewing Company,IPA - New England,8.3,346,4.72
28,Dinner,Maine Beer Company,IPA - Imperial,8.2,2685,4.66
29,KBS,Founders Brewing Company,Stout - American Imperial,12.3,14046,4.65
30,Duck Duck Gooze,The Lost Abbey,Lambic - Gueuze,7,1966,4.66
31,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,AleSmith Brewing Company,Stout - American Imperial,14,983,4.67
32,Blessed,Anchorage Brewing Company,Stout - American Imperial,14,183,4.77
33,Morning Wood,Funky Buddha Brewery,Porter - Imperial,12,1234,4.66
34,Lou Pepe - Kriek,Brasserie Cantillon,Lambic - Fruit,5,1860,4.65
35,JJJuliusss!,Tree House Brewing Company,IPA - New England,6.8,1021,4.66
36,Parabola,Firestone Walker Brewing Co.,Stout - Russian Imperial,13,7156,4.64
37,Westly,Sante Adairius Rustic Ales,Wild Ale,8.5,424,4.69
38,Fuzzy,Side Project Brewing,Wild Ale,8,1014,4.65
39,Ann,Hill Farmstead Brewery,Farmhouse Ale - Saison,6.5,431,4.68
40,Chemtrailmix,3 Floyds Brewing Co.,Stout - Russian Imperial,15,229,4.72
41,Zombie Dust,3 Floyds Brewing Co.,Pale Ale - American,6.2,11207,4.62
42,Hunahpu's Imperial Stout,Cigar City Brewing,Stout - American Imperial,10.2,4430,4.62
43,V.S.O.J.,Revolution Brewing,Barleywine - English,14,281,4.69
44,Doubleganger,Tree House Brewing Company,IPA - New England,8.2,1192,4.63
45,Vanilla Bean Assassin,Toppling Goliath Brewing Company,Stout - American Imperial,12.8,96,4.84
46,Double Citra,Hill Farmstead Brewery,IPA - New England,8,2070,4.62
47,Atrial Rubicite,Jester King Brewery,Wild Ale,5.8,1987,4.62
48,Maman,Perennial Artisan Ales,Stout - American Imperial,11.5,429,4.66
49,Double Galaxy,Hill Farmstead Brewery,IPA - New England,8,1669,4.62
50,Anabasis,Side Project Brewing,Barleywine - American,14,235,4.7
51,King Sue,Toppling Goliath Brewing Company,IPA - New England,7.8,3350,4.61
52,Headroom,Trillium Brewing Company,IPA - New England,8,789,4.63
53,Cable Car,The Lost Abbey,Wild Ale,7,1140,4.62
54,Rare Scooop,Cycle Brewing,Stout - American Imperial,12,199,4.71
55,Framboise Du Fermier,Side Project Brewing,Farmhouse Ale - Saison,8,302,4.67
56,A Deal With The Devil - Double Oak-Aged,Anchorage Brewing Company,Barleywine - American,17,178,4.72
57,Aaron,Hill Farmstead Brewery,Barleywine - English,9,671,4.63
58,It Was All A Dream,J. Wakefield Brewing,Stout - American Imperial,17,177,4.72
59,Supplication,Russian River Brewing Company,Wild Ale,7.75,6684,4.6
60,Oude Geuze Vintage,Brouwerij 3 Fonteinen,Lambic - Gueuze,6,868,4.62
61,Lou Pepe - Framboise,Brasserie Cantillon,Lambic - Fruit,5.5,1426,4.61
62,Citra,Kern River Brewing Company,IPA - Imperial,8,1871,4.6
63,Hellaboozie (Bourbon Barrel Aged Dark Lord Imperial Stout),3 Floyds Brewing Co.,Stout - Russian Imperial,15,951,4.61
64,Double Dry Hopped Congress Street,Trillium Brewing Company,IPA - New England,7.2,1636,4.6
65,Nectarine Premiere,de Garde Brewing,Farmhouse Ale - Saison,7.1,392,4.64
66,Focal Banger,The Alchemist,IPA - New England,7,4343,4.59
67,Society & Solitude #4,Hill Farmstead Brewery,IPA - New England,8,1417,4.6
68,Black Tuesday,The Bruery,Stout - American Imperial,19.5,4172,4.59
69,Green,Tree House Brewing Company,IPA - New England,7.6,3379,4.59
70,Beatification,Russian River Brewing Company,Wild Ale,6,2873,4.59
71,Ephraim,Hill Farmstead Brewery,IPA - New England,10,1126,4.6
72,Fourth Dementia - Bourbon Barrel-Aged,Kuhnhenn Brewing Company,Old Ale,13.5,2018,4.59
73,Double Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,Pale Ale - American,6.6,1757,4.59
74,Swish,Bissell Brothers Brewing Co.,IPA - New England,8,1676,4.59
75,Sip Of Sunshine,Lawson's Finest Liquids,IPA - Imperial,8,6035,4.58
76,Haze,Tree House Brewing Company,IPA - New England,8.2,3127,4.58
77,Chocolate Rain,The Bruery,Stout - American Imperial,19.6,2861,4.58
78,Ghost In The Machine - Double Dry-Hopped,Parish Brewing Company,IPA - New England,8.5,363,4.63
79,Doppelganger,Tree House Brewing Company,IPA - New England,8.2,2078,4.58
80,Black Note Stout,Bell's Brewery - Eccentric Café & General Store,Stout - American Imperial,11.2,4944,4.57
81,Flora Plum,Hill Farmstead Brewery,Farmhouse Ale - Saison,5,379,4.62
82,Beer Geek Vanilla Shake - Bourbon Barrel-Aged,Mikkeller ApS,Stout - American Imperial,13,576,4.6
83,West Ashley,Sante Adairius Rustic Ales,Farmhouse Ale - Saison,7.3,1188,4.58
84,A Deal With The Devil,Anchorage Brewing Company,Barleywine - American,17.3,1129,4.58
85,Triple Sunshine,Lawson's Finest Liquids,IPA - Imperial,10.5,1114,4.58
86,Saint Lamvinus,Brasserie Cantillon,Lambic - Fruit,7,2270,4.57
87,Keene Idea,Alpine Beer Company,IPA - Imperial,8.88,525,4.6
88,Galaxy Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,Pale Ale - American,6.6,1776,4.57
89,Triple Shot,Tree House Brewing Company,Stout - American Imperial,9.7,636,4.59
90,The Broken Truck,de Garde Brewing,Wild Ale,5,372,4.61
91,Abricot Du Fermier,Side Project Brewing,Farmhouse Ale - Saison,8,425,4.6
92,Coffee Cinnamon B-Bomb,Fremont Brewing Company,Strong Ale - American,13,1099,4.57
93,Breakfast Stout,Founders Brewing Company,Stout - Oatmeal,8.3,17806,4.55
94,Trappistes Rochefort 10,Brasserie de Rochefort,Quadrupel (Quad),11.3,9849,4.55
95,Saison Du Fermier,Side Project Brewing,Farmhouse Ale - Saison,7,865,4.57
96,§ucaba,Firestone Walker Brewing Co.,Barleywine - English,12.5,5491,4.55
97,Black Gold,Central Waters Brewing Co.,Stout - American Imperial,11,852,4.57
98,Sunday Brunch,Kane Brewing Company,Porter - Imperial,9.2,838,4.57
99,Coconut Vibes,Shared Brewing,Stout - Russian Imperial,13,176,4.66
100,Bourbon Paradise,Prairie Artisan Ales,Stout - American Imperial,13.7,796,4.57
101,Plead The 5th - Bourbon Barrel-Aged,Dark Horse Brewing Company,Stout - Russian Imperial,11,3351,4.55
102,Beyond Good And Evil,Hill Farmstead Brewery,Stout - American Imperial,10,764,4.57
103,The Rusty Nail,Fremont Brewing Company,Stout - Oatmeal,13.3,750,4.57
104,Alter Ego,Tree House Brewing Company,IPA - New England,6.8,2574,4.55
105,Pirate Paradise,Prairie Artisan Ales,Stout - American Imperial,13,343,4.6
106,Black Tuesday - Reserve,The Bruery,Stout - American Imperial,20.5,326,4.6
107,Last Buffalo In The Park,Funky Buddha Brewery,Porter - Imperial,11.5,904,4.56
108,Miami Madness,J. Wakefield Brewing,Sour - Fruited Kettle Sour,5.5,475,4.58
109,Society & Solitude #5,Hill Farmstead Brewery,IPA - New England,8.1,1623,4.55
110,Notorious Triple IPA,Boneyard Beer Company,IPA - Imperial,12,883,4.56
111,Blåbær Lambik,Brasserie Cantillon,Lambic - Fruit,5,871,4.56
112,The Peach,de Garde Brewing,Wild Ale,7.3,311,4.6
113,Cutting Tiles - Mosaic,Trillium Brewing Company,IPA - New England,8.5,1393,4.55
114,Double Shot,Tree House Brewing Company,Stout - American Imperial,7.6,1189,4.55
115,Samuel Adams Utopias,Boston Beer Company (Samuel Adams),Strong Ale - American,28,2778,4.54
116,Cable Car Kriek,The Lost Abbey,Wild Ale,7,156,4.66
117,Pirate Bomb!,Prairie Artisan Ales,Stout - American Imperial,15,2456,4.54
118,Speedway Stout - Bourbon Barrel-Aged,AleSmith Brewing Company,Stout - American Imperial,12,2299,4.54
119,Wide Awake It's Morning,Funky Buddha Brewery,Porter - Imperial,10,994,4.55
120,Grey Monday,The Bruery,Stout - American Imperial,19.9,1915,4.54
121,Parabajava,Firestone Walker Brewing Co.,Stout - Russian Imperial,14,920,4.55
122,Mexican Brunch,Kane Brewing Company,Porter - Imperial,9.2,602,4.56
123,Consecration,Russian River Brewing Company,Wild Ale,10,5582,4.53
124,Framboos,Brouwerij 3 Fonteinen,Lambic - Fruit,5,836,4.55
125,Pseudo Sue - Double Dry-Hopped,Toppling Goliath Brewing Company,Pale Ale - American,6.8,1323,4.54
126,Great,Alpine Beer Company,Barleywine - American,14,759,4.55
127,Scaled Way Up,Trillium Brewing Company,IPA - New England,8,543,4.56
128,Hypermash Hydra,Bottle Logic Brewing,Stout - American Imperial,13.54,117,4.69
129,In Perpetuity,Tree House Brewing Company,IPA - New England,6.7,1092,4.54
130,Gggreennn!,Tree House Brewing Company,IPA - New England,7.5,510,4.56
131,Barrel-Aged Sump Coffee Stout,Perennial Artisan Ales,Stout - American Imperial,10.5,631,4.55
132,Bomb!,Prairie Artisan Ales,Stout - American Imperial,13,6578,4.52
133,Pseudo Sue,Toppling Goliath Brewing Company,Pale Ale - American,5.8,5682,4.52
134,Abrasive Ale,Surly Brewing Company,IPA - Imperial,9.2,4803,4.52
135,Permanent Funeral,3 Floyds Brewing Co.,IPA - Imperial,10.5,3155,4.52
136,Moment Of Clarity,Tree House Brewing Company,Stout - Sweet / Milk,7.7,533,4.55
137,Hommage,Brouwerij 3 Fonteinen,Lambic - Fruit,6,1132,4.53
138,Double Dry Hopped Double Mosaic Dream,Other Half Brewing Company,IPA - New England,8.5,684,4.54
139,Kaggen! Stormaktsporter,Närke Kulturbryggeri AB,Stout - Russian Imperial,10,218,4.6
140,Mocha Wednesday,The Bruery,Stout - American Imperial,19.9,1489,4.52
141,No Rules,Perrin Brewing Co.,Porter - Imperial,15,1400,4.52
142,Darkness,Surly Brewing Company,Stout - Russian Imperial,12,4199,4.51
143,Lou Pepe - Gueuze,Brasserie Cantillon,Lambic - Gueuze,5,1264,4.52
144,Heavy Mettle,Trillium Brewing Company,IPA - New England,9.3,1224,4.52
145,Everett,Hill Farmstead Brewery,Porter - American,7.5,2837,4.51
146,Congress Street IPA,Trillium Brewing Company,IPA - New England,7.2,2432,4.51
147,Double Stack,Great Notion Brewing,Stout - American Imperial,11,673,4.53
148,Society & Solitude #6,Hill Farmstead Brewery,IPA - New England,8.1,1023,4.52
149,Upper Case,Trillium Brewing Company,IPA - New England,9,1022,4.52
150,Susan,Hill Farmstead Brewery,IPA - American,6.2,2082,4.51
151,Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company,Stout - American Imperial,12,1995,4.51
152,Medianoche - Coconut,WeldWerks Brewing Co.,Stout - American Imperial,14.1,173,4.61
153,Montmorency Vs Balaton,Jester King Brewery,Wild Ale,6.1,931,4.52
154,Mexican Cake - Maple Bourbon Barrel-Aged,Westbrook Brewing Co.,Stout - American Imperial,10.2,189,4.6
155,Bourbon Barrel Aged Dark Star: Coffee Edition,Fremont Brewing Company,Stout - Oatmeal,13.6,896,4.52
156,Fundamental Forces,Bottle Logic Brewing,Stout - American Imperial,16.2,266,4.57
157,Abt 12,Brouwerij St. Bernardus NV,Quadrupel (Quad),10,10187,4.5
158,Damon (Bourbon Barrel Aged),Hill Farmstead Brewery,Stout - Russian Imperial,10.5,866,4.52
159,The Abyss,Deschutes Brewery,Stout - American Imperial,11.4,7534,4.5
160,Leaner,Casey Brewing & Blending,Farmhouse Ale - Saison,8,229,4.58
161,Double Nelson,Hill Farmstead Brewery,IPA - New England,8,442,4.54
